"","year","c_regin","regin","x1","x2","x3","x28","x4","x5","x6","x5.","x6.","x7","x8","x9","x10","x11","x13","x14","x15","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","id","critic_set1","critic_set2","entropy_set1","entropy_set2","combine_set1","combine_set2"
"251",2020,"河南","z41",186.6487983,273,696.07,99.58,10677,1.310894209,1,4.282339043,1,110.3561935,2366.000244,177.0000153,5845,437,56.55000305,0.41,166,2119936,335.999939,2391,198,4792.911133,2787571.75,2203.000488,4.059999943,332758.0313,0.319999993,140.93,"z41",0.172131680143786,0.172677738679315,0.174776389514922,0.174029140473201,0.173420589312793,0.173336997452187
"252",2021,"河南","z41",200.9360227,130.0817,642.22,99.64,10512,1.533586512,1,2.138604705,1,104.2341995,2324.73291,179.0229187,6319,545,172.759964,0.42,169,2137441.25,332.0469666,2249,222,4975.828613,59744072,2156.02417,3.934033632,348082.8125,0.330322534,122.01,"z41",0.187559311427477,0.177097662109354,0.193037831215516,0.179925457662769,0.190229288879237,0.178477154895964
"253",2013,"湖北","z42",16.72995067,21.0035,872.14,98.81,7088,1.859277696,2,0.280346401,3,49.1000061,682,155,1638,98,230.3500214,0.46,112,1926674.125,170,307,53,1930.499634,3207.300781,683.1515503,2.83092165,154137.9688,0.350000024,72.44,"z42",0.0938163714444981,0.0775037896905144,0.0969300329056356,0.0770340470534001,0.0953338261978423,0.0772746335979958
"254",2014,"湖北","z42",19.01762067,35.4941,895.95,98.89,7089,1.748237212,2,0.025546699,3,56.42404938,761.0001221,152,1049,167,489.7499084,0.49,112,2158845,173.9999847,273,52,2364.446533,4017.259766,763.7243652,2.860308409,168048.0625,0.340000004,76.65,"z42",0.100678099129583,0.0842227774035256,0.106007696770686,0.0861145912195777,0.10327549880673,0.0851456671469868
"255",2015,"湖北","z42",24.60852945,133.2,984.18,98.98,7203,1.746857272,3,0.955573586,3,64.84059143,732.9998779,153,1639,199,248.7200165,0.51,112,1947865.125,174.9999847,282,58,2895.938477,5031.762695,853.8001709,2.890000105,235647.9688,0.379999995,84.03,"z42",0.106920184923693,0.0911894195199684,0.113491387379856,0.0930300756158575,0.110122685428886,0.0920873528248854
"256",2016,"湖北","z42",22.91888188,101.9556,1003.25,99.15,7315,2.079720289,3,1.160145361,3,74.5125885,732.9998779,147.0000153,1884,215,52.01999664,0.56,112,1980655.75,182.9999695,308,58,3546.901367,6302.463867,954.4998169,2.920000076,290408.0938,0.449999988,96.61,"z42",0.110991554948526,0.0929352578614837,0.116912342729691,0.0933779820951531,0.11387707338854,0.0931512334775662
"257",2017,"湖北","z42",18.90360493,78.9674,1060.57,99.32,7576,2.022205358,3,2.102588865,3,85.62732697,726.0001221,143.0000305,2281,322,256.47995,0.61,116,2076764.875,199.0000153,473,65,4344.190918,7894.063477,1164.099731,3.279999971,343992.0938,0.50999999,95.26,"z42",0.122983379880879,0.10895165438438,0.129995651015731,0.111000183762953,0.126400836883874,0.1099509951951
"258",2018,"湖北","z42",15.68060833,106.2054,1060.8,99.58,7569,2.100517432,3,4.315053535,3,98.3999939,748.000061,138,2793,467,87.49999237,0.66,115,2112271.25,200.0000153,489,61,5320.699219,9887.598633,1779.699829,4.239999771,421351,0.580000043,113.15,"z42",0.130961997282705,0.124940452084645,0.138519754001195,0.128125555148682,0.134645298759193,0.126494251366966
"259",2019,"湖北","z42",19.90192685,206.3296,1055,99.7,7261,1.959268153,3,4.208848359,3,95.21544647,623,138,3249,722,18.20999908,0.71,116,2451046.5,213.0000458,388,67,5820.190918,229256.3438,1928.999756,4.25,410234.125,0.50999999,148.53,"z42",0.133470171648151,0.128309757569413,0.142962518904698,0.133669048880822,0.13809630317999,0.130924198240875
"260",2020,"湖北","z42",29.25230758,180.4,1174.34,99.82,7254,2.005719441,3,3.141131186,3,92.13395691,698.000061,85,4685,1003,11.34000111,0.76,117,2571660.25,213.9999695,441,73,6366.57373,5315595,1721.999634,4.009999752,432861.9688,0.50999999,146.52,"z42",0.138401142803983,0.128418078020293,0.148745679295023,0.134115448959593,0.143442591999856,0.131197445186321
